Probe	Gene	Fold_Change	t_test_p	t_test_adjp	snr_p	snr_adjp	limma_p	limma_adjp	anova_p	anova_adjp	signif_parametric	wilcoxon_p	wilcoxon_adjp
ILMN_1241915	NOTCH1	1.145832115	0.0002995	0.01489206	0.0002995	0.01335371	0.00000308	0.00053349	0.00000333	0.000657593	1	2.24515E-05	0.00440984
ILMN_2605819	EGLN3	1.145595193	0.0006399	0.0211535	0.0006399	0.01941092	0.00000579	0.00084519	0.0000358	0.003445285	1	0.000353739	0.02219068
ILMN_1253699	2900045G02RIK	1.145548347	0.0002995	0.01489206	0.0002995	0.01335371	0.00000247	0.00045603	0.0000131	0.001740513	1	3.12891E-05	0.00543437
ILMN_1244853	LOC100044948	1.14491469	0.0002995	0.01489206	0.0002995	0.01335371	0.00000528	0.0007879	0.000019	0.002312072	1	0.00022037	0.01646479
ILMN_2589871	CD28	1.144678691	0.0006399	0.0211535	0.0002995	0.01335371	0.00000485	0.00074167	0.00000392	0.000746457	1	2.34111E-05	0.00450296
ILMN_2997406	ARL4C	1.144292866	0.00094262	0.02607154	0.0006399	0.01941092	0.0000259	0.00247667	0.0000788	0.005900268	1	0.001686537	0.05325863
ILMN_2860645	GBP6	1.143811908	0.0006399	0.0211535	0.0006399	0.01941092	0.00023405	0.01207808	0.00011452	0.007736431	1	0.000169803	0.01418997
ILMN_1249547	ZFP292	1.143548873	0.0002995	0.01489206	0.0002995	0.01335371	0.0000159	0.00174469	0.0000524	0.004443054	1	0.000163541	0.01374071
ILMN_1236539	PFKL	1.142647393	0.0002995	0.01489206	0.0002995	0.01335371	0.00000177	0.00034525	0.0000425	0.00387062	1	0.000329201	0.02128238
ILMN_2425990	4933421G18RIK	1.142576402	0.0002995	0.01489206	0.0002995	0.01335371	0.0000176	0.00184358	0.0000196	0.002353419	1	5.89742E-06	0.0021116
ILMN_2553041	A130093I21RIK	1.142422921	0.00176049	0.0385938	0.00227139	0.0429166	0.00011916	0.00754608	0.00091734	0.029755562	1	0.000873828	0.03714525
ILMN_1224945	E130113K22RIK	1.141736556	0.0002995	0.01489206	0.0002995	0.01335371	0.00000824	0.0010961	0.0000241	0.002707128	1	1.89821E-05	0.00409055
ILMN_1218525	IL18R1	1.141400055	0.0002995	0.01489206	0.0002995	0.01335371	0.0000071	0.00098878	0.00000253	0.000522839	1	5.52021E-05	0.00760204
ILMN_1243621	A130026C10RIK	1.141355268	0.0002995	0.01489206	0.0002995	0.01335371	0.00014647	0.00871594	0.00067402	0.024761981	1	0.00057968	0.02968357
ILMN_1228608	LOC637353	1.141241268	0.00373333	0.06184411	0.00349473	0.0566205	0.00162544	0.04219715	0.00320971	0.063172249	0	0.005070533	0.09692735
ILMN_1229746	ECM1	1.141034556	0.0002995	0.01489206	0.0002995	0.01335371	0.00000063	0.00015526	0.00000018	0.0000829	1	1.89087E-06	0.00111411
ILMN_2915951	D13ERTD608E	1.140936106	0.0002995	0.01489206	0.0002995	0.01335371	0.0000242	0.0023517	0.0000549	0.004568149	1	5.97852E-05	0.00777325
ILMN_1249864	A630077B13RIK	1.140911297	0.00094262	0.02607154	0.0002995	0.01335371	0.0000339	0.00303141	0.0000306	0.003131644	1	0.000111802	0.01097902
ILMN_2995934	LOC547323	1.140861547	0.0002995	0.01489206	0.0002995	0.01335371	0.00000251	0.00046209	0.00000828	0.001279253	1	3.99889E-05	0.00618393
ILMN_2456391	TCRB-J	1.140797339	0.00176049	0.0385938	0.0002995	0.01335371	0.0000215	0.00216998	0.00010468	0.007215102	1	0.001068077	0.04167292
ILMN_1239469	LEF1	1.140750182	0.0002995	0.01489206	0.0002995	0.01335371	0.00000385	0.00063236	0.0000028	0.000567027	1	9.56597E-06	0.00274856
ILMN_1259463	ANKZF1	1.140723241	0.0002995	0.01489206	0.0002995	0.01335371	1.15E-07	0.0000431	8.51E-07	0.00023576	1	2.27642E-06	0.00127663
ILMN_3142803	CXCL10	1.140155785	0.0032539	0.05678214	0.00301234	0.05155233	0.00516161	0.08343803	0.00230778	0.05128928	0	0.003346676	0.07734743
ILMN_2594768	THA1	1.139893861	0.00149689	0.03478153	0.00094262	0.02430167	0.0000101	0.00124325	0.00018697	0.010823311	1	0.000470028	0.02607676
ILMN_2677207	LOC100047788	1.139882555	0.0056004	0.08017457	0.00490758	0.07073729	0.00128112	0.03625071	0.00280343	0.058355577	0	0.00675613	0.11179438
ILMN_1226048	AI504432	1.13986418	0.0002995	0.01489206	0.0002995	0.01335371	4.96E-07	0.00013044	5.84E-07	0.000181161	1	6.16514E-06	0.0021257
ILMN_1241598	LY116	1.139617809	0.0002995	0.01489206	0.0002995	0.01335371	0.0000304	0.00278339	0.000043	0.003909	1	0.000135352	0.01242731
ILMN_1258272	LOC382646	1.139404236	0.00149689	0.03478153	0.00122569	0.02881591	0.00019446	0.01053711	0.00033198	0.01550964	1	0.001033149	0.04099743
ILMN_1238847	CD3E	1.139135835	0.0006399	0.0211535	0.0002995	0.01335371	0.00000182	0.00035008	0.00000947	0.00136995	1	0.000353739	0.02219068
ILMN_1254218	NISCH	1.138664045	0.0002995	0.01489206	0.0002995	0.01335371	0.0000288	0.00267634	0.00013436	0.00874694	1	7.28705E-05	0.00865281
ILMN_2879858	PRKX	1.138650161	0.0002995	0.01489206	0.0002995	0.01335371	9.55E-12	2.47E-08	4.3E-12	0.00000005	1	1.05033E-08	0.00012222
ILMN_1231490	2410006H16RIK	1.138597457	0.0002995	0.01489206	0.0002995	0.01335371	0.0000613	0.00458827	0.000093	0.006607866	1	9.5799E-05	0.01018072
ILMN_1232707	SAMHD1	1.138552379	0.0002995	0.01489206	0.0002995	0.01335371	0.00000184	0.00035317	2.73E-07	0.000109783	1	8.0326E-06	0.00247612
ILMN_1240592	ALS2CL	1.138470539	0.01404445	0.13554668	0.01142074	0.11750706	0.00241847	0.05412137	0.00804871	0.105414587	0	0.019643191	0.19233384
ILMN_3142602	B3GALT4	1.138320625	0.0002995	0.01489206	0.0002995	0.01335371	1.28E-07	0.0000472	2.85E-07	0.000110081	1	1.72245E-06	0.00108344
ILMN_3031781	ARID5B	1.138169635	0.0006399	0.0211535	0.00094262	0.02430167	0.00017446	0.00971369	0.00037839	0.0167608	1	0.000665544	0.03206944
ILMN_2568028	IL2RG	1.138046812	0.0006399	0.0211535	0.0002995	0.01335371	0.0000163	0.00177372	0.00010898	0.007416137	1	0.000151664	0.01324485
ILMN_1239776	LOC100040243	1.1379032	0.00094262	0.02607154	0.0006399	0.01941092	0.0000766	0.00547181	0.00037845	0.0167608	1	0.000341264	0.02181978
ILMN_1253691	B430201A12RIK	1.137684368	0.0002995	0.01489206	0.0002995	0.01335371	3.76E-07	0.00010665	3.57E-07	0.000132883	1	4.50187E-07	0.00052531
ILMN_1239238	PRKCH	1.137598283	0.0002995	0.01489206	0.0002995	0.01335371	0.00000445	0.00070872	9.27E-07	0.000252346	1	5.30373E-05	0.00748099
ILMN_2663230	SLCO3A1	1.137294887	0.00094262	0.02607154	0.0006399	0.01941092	2.28E-07	0.0000712	0.00000754	0.001205762	1	0.00010758	0.01083883
ILMN_1255869	CATNB	1.137232235	0.0002995	0.01489206	0.0002995	0.01335371	0.0000558	0.0042775	0.0000935	0.006622679	1	0.000135361	0.01242731
ILMN_2847773	OTTMUSG0000000515.21337208625	0.0002995	0.01489206	0.0002995	0.01335371	0.00000407	0.0006631	0.00000411	0.000768531	1	3.39668E-05	0.00570777
ILMN_2945940	RAPGEF4	1.136953118	0.0002995	0.01489206	0.0002995	0.01335371	0.0000964	0.00649408	0.0000445	0.003979315	1	0.000220357	0.01646479
ILMN_2426853	UBD	1.13683555	0.00149689	0.03478153	0.00149689	0.03284241	0.00151895	0.04027676	0.00035471	0.016129651	1	0.001389344	0.04772897
ILMN_2639972	PPP1R3B	1.136776701	0.0002995	0.01489206	0.0002995	0.01335371	0.0000018	0.00034718	0.00000665	0.001105293	1	0.000146035	0.01292295
ILMN_2693461	SSBP2	1.136455877	0.0002995	0.01489206	0.0002995	0.01335371	0.00000811	0.00108443	0.0000104	0.001467743	1	9.95836E-05	0.01046347
ILMN_1258988	IGFBP4	1.136364638	0.00605844	0.08369461	0.00397039	0.06196763	0.00044687	0.01884113	0.00175534	0.043416704	0	0.012677869	0.1539569
ILMN_2509988	LBR	1.136214053	0.0002995	0.01489206	0.0002995	0.01335371	0.00037342	0.01669711	0.00049349	0.020167155	1	0.000317538	0.02078825
ILMN_1230458	IFIT3	1.136194338	0.0020184	0.04200694	0.00149689	0.03284241	0.00399845	0.07166564	0.00197876	0.046801373	0	0.001301631	0.04617913
ILMN_2727235	ANKRD11	1.136184371	0.0020184	0.04200694	0.00122569	0.02881591	0.00057505	0.02210324	0.00110173	0.033170811	1	0.004006777	0.0855913
ILMN_2637714	RASA3	1.135912258	0.0002995	0.01489206	0.0002995	0.01335371	1.38E-07	0.0000492	7.38E-08	0.0000436	1	1.92936E-07	0.00034541
ILMN_2595918	GIMAP7	1.135856716	0.0006399	0.0211535	0.0006399	0.01941092	0.00000021	0.0000667	0.00000695	0.001138958	1	0.000183009	0.01471244
ILMN_1231573	SERPINB1A	1.135730392	0.0002995	0.01489206	0.0002995	0.01335371	9.05E-07	0.00020553	0.00000222	0.000472255	1	3.83949E-05	0.00609954
ILMN_2459155	ZFP238	1.135647435	0.0002995	0.01489206	0.0002995	0.01335371	0.00017162	0.00962449	0.00031671	0.015073371	1	0.000470028	0.02607676
ILMN_1243910	ZFP292	1.13546193	0.0006399	0.0211535	0.0002995	0.01335371	0.00016234	0.00923784	0.00035402	0.016129651	1	0.000712779	0.03334445
ILMN_1222471	GMFG	1.13543581	0.0002995	0.01489206	0.0002995	0.01335371	9.07E-09	0.0000064	9.8E-09	0.0000111	1	5.74828E-07	0.00056929
ILMN_2469190	B230345P09RIK	1.135305336	0.0006399	0.0211535	0.00094262	0.02430167	0.00017922	0.00989578	0.00053924	0.021235038	1	0.000212355	0.01604723
ILMN_2696492	PHF11	1.135183534	0.00094262	0.02607154	0.0006399	0.01941092	0.0000941	0.00638343	0.00015178	0.009420008	1	0.000504223	0.02732257
ILMN_2996904	OBFC2A	1.135148949	0.0002995	0.01489206	0.0002995	0.01335371	0.00000351	0.00059253	0.00000887	0.001330104	1	2.88127E-05	0.00509941
ILMN_1233449	LOC100044430	1.13513543	0.0002995	0.01489206	0.0002995	0.01335371	0.00000334	0.00057008	0.00000669	0.00110836	1	0.000212368	0.01604723
ILMN_1251193	A630084D02RIK	1.134829034	0.0002995	0.01489206	0.0002995	0.01335371	0.00032183	0.01505533	0.0002505	0.012926945	1	0.000379979	0.02324165
ILMN_2758878	TMEM66	1.13478407	0.00276802	0.05133777	0.00176049	0.03635757	0.00043749	0.01861404	0.00091474	0.029733662	0	0.003149577	0.07483876
ILMN_3160137	ALDOC	1.134554634	0.0076447	0.09672601	0.00583002	0.07876136	0.00082471	0.02769675	0.0021101	0.048647455	0	0.012022966	0.14955451
ILMN_1218051	IQGAP2	1.134418217	0.00149689	0.03478153	0.00122569	0.02881591	0.0000255	0.00246014	0.0000551	0.00457056	1	0.000643	0.03157309
ILMN_1230726	5430406J06RIK	1.13436247	0.00122569	0.03054155	0.00094262	0.02430167	0.00022223	0.01167751	0.0008189	0.027904422	1	0.001581552	0.05126497
ILMN_2879614	ZBP1	1.13418419	0.0006399	0.0211535	0.0006399	0.01941092	0.0000132	0.00150968	0.0000283	0.002963331	1	0.000255296	0.01817016
ILMN_2534207	LOC380706	1.133996759	0.0002995	0.01489206	0.0002995	0.01335371	3.59E-08	0.000018	8.2E-09	0.0000103	1	7.68761E-07	0.00070164
ILMN_2659739	IL7R	1.133870404	0.0002995	0.01489206	0.0002995	0.01335371	0.0000625	0.00467003	0.0000102	0.001439966	1	7.88278E-05	0.00901523
ILMN_2958159	ENO1	1.13384821	0.0002995	0.01489206	0.0002995	0.01335371	0.00000265	0.00047116	0.0000399	0.003729707	1	0.000329201	0.02128238
ILMN_1257704	6030458P06RIK	1.133768716	0.0006399	0.0211535	0.0006399	0.01941092	0.0000499	0.00393179	0.00019668	0.011191632	1	0.000197175	0.01547711
ILMN_2477213	LOC100045240	1.133690768	0.0002995	0.01489206	0.0002995	0.01335371	2.65E-07	0.0000787	7.57E-07	0.000219513	1	4.12145E-06	0.00171287
ILMN_2513870	ZAP70	1.133508982	0.0002995	0.01489206	0.0002995	0.01335371	2.43E-07	0.0000731	0.00000252	0.000522839	1	0.000163531	0.01374071
ILMN_1343061	control_ILMN_134310.61133413667	0.05896005	0.29652912	0.05313904	0.27805718	0.0444304	0.27002241	0.05091233	0.282020251	0	0.090139534	0.39515789
ILMN_1258340	TCF12	1.133249325	0.0002995	0.01489206	0.0002995	0.01335371	0.0000229	0.00226216	0.000017	0.002131671	1	2.06483E-05	0.00430994
ILMN_2777019	SPO11	1.133035275	0.0006399	0.0211535	0.0006399	0.01941092	0.00017061	0.00961402	0.000037	0.003539707	1	0.000157497	0.01350097
ILMN_1255907	ARP2	1.132980051	0.0002995	0.01489206	0.0002995	0.01335371	0.0000147	0.00164902	0.0000292	0.003023837	1	4.51564E-05	0.00675851
ILMN_2449620	5830427D02RIK	1.132961187	0.0002995	0.01489206	0.0002995	0.01335371	0.0000477	0.00381669	0.00019019	0.010942585	1	7.57938E-05	0.00879794
ILMN_2477946	SCL0001464.1_61	1.132866527	0.0002995	0.01489206	0.0002995	0.01335371	0.00000865	0.00113789	0.000027	0.002873981	1	0.00040803	0.02413289
ILMN_2627179	ELL3	1.132790682	0.0002995	0.01489206	0.0002995	0.01335371	9.29E-09	0.00000645	1.03E-08	0.0000115	1	1.74307E-07	0.00034541
ILMN_1214318	RASGRP1	1.132335612	0.0006399	0.0211535	0.0002995	0.01335371	0.0000771	0.0054869	0.0000845	0.006173424	1	0.000873828	0.03714525
ILMN_1218206	KLF13	1.132335512	0.0020184	0.04200694	0.00149689	0.03284241	0.00013977	0.00848224	0.00056901	0.022034784	1	0.002540648	0.06640064
ILMN_1233501	C530027B15RIK	1.132246044	0.00122569	0.03054155	0.00122569	0.02881591	0.00014451	0.00864564	0.00060955	0.023104722	1	0.000737547	0.0342621
ILMN_1241522	4921505C17RIK	1.13221457	0.0002995	0.01489206	0.0002995	0.01335371	6.62E-07	0.0001602	0.00000201	0.000441415	1	6.16514E-06	0.0021257
ILMN_1226239	INPP4B	1.132137878	0.00176049	0.0385938	0.00176049	0.03635757	0.00019583	0.01059928	0.00041	0.01769293	1	0.000540669	0.02850419
ILMN_2613422	ITK	1.131935528	0.0006399	0.0211535	0.0006399	0.01941092	0.0000104	0.00127268	0.000056	0.004602895	1	0.000140602	0.01273272
ILMN_2593554	IGTP	1.131930192	0.0002995	0.01489206	0.0002995	0.01335371	0.0000358	0.00314503	0.00000464	0.000834646	1	1.67194E-05	0.0037966
ILMN_1229804	LTA	1.131546852	0.00583002	0.08214635	0.00252097	0.04602629	0.00028612	0.01388718	0.00121075	0.035093672	0	0.008450429	0.12538799
ILMN_2607160	PUM2	1.130377924	0.0006399	0.0211535	0.0002995	0.01335371	0.00000172	0.00033587	0.00000121	0.000298774	1	2.76434E-05	0.00493033
ILMN_3072437	6330500D04RIK	1.130133265	0.00301234	0.05440113	0.00252097	0.04602629	0.00089012	0.02903745	0.0012227	0.035284033	0	0.00210642	0.05997046
ILMN_1251170	AFF4	1.130045502	0.0002995	0.01489206	0.0002995	0.01335371	0.0000524	0.00405887	0.00011408	0.007718214	1	7.0054E-05	0.00846962
ILMN_1246582	LOC436541	1.129946125	0.0006399	0.0211535	0.0006399	0.01941092	0.0000207	0.00211087	0.0000462	0.004074421	1	0.000176289	0.01444673
ILMN_1244891	CST7	1.1298809	0.0002995	0.01489206	0.0002995	0.01335371	0.0000285	0.00265981	0.0000142	0.001859837	1	0.000146035	0.01292295
ILMN_2697693	GRHPR	1.129040446	0.0006399	0.0211535	0.0006399	0.01941092	0.0000147	0.00164902	0.0000385	0.003609572	1	0.000157497	0.01350097
ILMN_1233402	LOC100045981	1.129004666	0.0002995	0.01489206	0.0002995	0.01335371	1.69E-07	0.0000566	0.00000129	0.000312387	1	7.03988E-06	0.00230764
ILMN_1258864	BC106179	1.128947865	0.0002995	0.01489206	0.0006399	0.01941092	0.00043723	0.01861404	0.00059166	0.022629221	1	0.000317538	0.02078825
ILMN_1234796	HSD17B12	1.128868369	0.0002995	0.01489206	0.0002995	0.01335371	0.0000811	0.00570333	0.00021329	0.011819303	1	0.000197175	0.01547711
ILMN_1236595	SLA2	1.128559293	0.00176049	0.0385938	0.00122569	0.02881591	0.0000231	0.00227606	0.00024722	0.012817366	1	0.001344859	0.0469611
ILMN_1241952	6230415M23RIK	1.12852499	0.0002995	0.01489206	0.0006399	0.01941092	0.00028485	0.01386905	0.00098023	0.030953762	1	0.00148248	0.04961268
ILMN_2657980	FAAH	1.128386309	0.0002995	0.01489206	0.0002995	0.01335371	0.0000342	0.00304391	0.00014089	0.009031912	1	0.00040803	0.02413289
ILMN_2745614	FAM134B	1.127986989	0.0002995	0.01489206	0.0002995	0.01335371	0.0000227	0.00225688	0.000034	0.003321814	1	0.000264806	0.01861919
ILMN_1240415	LOC234987	1.127947991	0.0002995	0.01489206	0.0002995	0.01335371	0.0000121	0.00143247	0.0000715	0.005501275	1	0.000163531	0.01374071
ILMN_2552490	6720463L11RIK	1.127757726	0.0006399	0.0211535	0.0002995	0.01335371	0.0000289	0.00267683	0.00012185	0.008102409	1	0.000317538	0.02078825
ILMN_2729447	9030612M13RIK	1.12772184	0.0002995	0.01489206	0.0002995	0.01335371	0.00000038	0.0001073	0.00000154	0.000360893	1	1.24004E-05	0.00322459
ILMN_1233293	GBP1	1.127491461	0.0002995	0.01489206	0.0002995	0.01335371	0.00077034	0.02679885	0.0000253	0.002787107	1	3.39668E-05	0.00570777
ILMN_1236105	FYB	1.127293421	0.00176049	0.0385938	0.0020184	0.03953445	0.00046297	0.01920664	0.00246862	0.053569604	0	0.003663228	0.08166297
ILMN_3009860	SELL	1.126985915	0.0006399	0.0211535	0.0002995	0.01335371	0.00000258	0.00046493	0.0000101	0.001437553	1	6.47271E-05	0.00803428
ILMN_1217929	LOC667005	1.126757091	0.00094262	0.02607154	0.00094262	0.02430167	0.00030191	0.01442973	0.00061251	0.023197995	1	0.000763113	0.03482416
ILMN_1219896	LOC623121	1.126643386	0.0002995	0.01489206	0.0006399	0.01941092	0.00017252	0.00966351	0.00036014	0.0162751	1	0.000169803	0.01418997
ILMN_2808485	GBP10	1.126535797	0.00094262	0.02607154	0.00094262	0.02430167	0.00089514	0.02913696	0.00032196	0.015214362	1	0.000903743	0.03800048
ILMN_2628271	LOC100045967	1.126530154	0.00122569	0.03054155	0.0006399	0.01941092	0.00000934	0.00118696	0.00014347	0.009094873	1	0.001741399	0.05411008
ILMN_2959272	RNU6	1.126488141	0.0002995	0.01489206	0.0002995	0.01335371	0.0001271	0.00781497	0.0000785	0.005894011	1	5.52021E-05	0.00760204
ILMN_1240857	COX7A1	1.126488113	0.0002995	0.01489206	0.0002995	0.01335371	0.00000712	0.00098878	0.0000106	0.001479487	1	1.08955E-05	0.00300091
ILMN_1248837	TBXA2R	1.126308353	0.0006399	0.0211535	0.0006399	0.01941092	0.0000496	0.00391795	0.0000556	0.004598957	1	0.00010758	0.01083883
ILMN_1213986	LOC380617	1.126269609	0.0002995	0.01489206	0.0002995	0.01335371	0.0000257	0.00247459	0.0000184	0.002261567	1	2.24533E-05	0.00440984
ILMN_2565089	A830083H19RIK	1.126188031	0.0002995	0.01489206	0.0002995	0.01335371	0.0000412	0.00347143	0.000057	0.00465062	1	3.99889E-05	0.00618393
ILMN_2756628	CMC1	1.125722229	0.0002995	0.01489206	0.0002995	0.01335371	1.76E-09	0.00000151	6.75E-09	0.00000872	1	3.51784E-07	0.00045485
ILMN_2689307	SPNB2	1.125305551	0.0002995	0.01489206	0.0002995	0.01335371	0.0000723	0.00525285	0.00023598	0.01249632	1	0.000284828	0.01943975
ILMN_2551741	0610010I05RIK	1.124918642	0.0006399	0.0211535	0.0006399	0.01941092	0.00046313	0.01920664	0.00104266	0.032055996	1	0.000540698	0.02850419
ILMN_1343062	control_ILMN_134310.61224836817	0.06518171	0.31189827	0.05958295	0.29527363	0.05222749	0.29304733	0.05948765	0.305188121	0	0.168994973	0.52187414
ILMN_2749364	LOC382646	1.124580104	0.00276802	0.05133777	0.00176049	0.03635757	0.0000498	0.00393109	0.00024533	0.01278781	0	0.002963349	0.07240684
ILMN_2784272	IFNGR2	1.124504822	0.0020184	0.04200694	0.00176049	0.03635757	0.0008594	0.02845121	0.0016295	0.041583456	1	0.000903743	0.03800048
ILMN_1225348	FAM102A	1.12448091	0.0002995	0.01489206	0.0002995	0.01335371	0.00000714	0.00098905	0.0000248	0.002755904	1	0.000189968	0.01508948
ILMN_2630739	PHF20L1	1.124360297	0.00094262	0.02607154	0.00149689	0.03284241	0.00051915	0.02079588	0.00041925	0.017887063	1	0.000393771	0.02371136
ILMN_2418366	6720427H10RIK	1.124259069	0.0002995	0.01489206	0.0002995	0.01335371	0.00014538	0.00867674	0.00026831	0.013575239	1	0.000540727	0.02850419
ILMN_2846731	1110059E24RIK	1.124049613	0.0002995	0.01489206	0.0002995	0.01335371	2.88E-08	0.0000149	1.45E-07	0.0000709	1	2.15328E-05	0.0043202
ILMN_2594855	PDPK1	1.124023837	0.0002995	0.01489206	0.0002995	0.01335371	0.0000466	0.00377453	0.0000558	0.004598957	1	0.000189956	0.01508948
ILMN_1246543	SIAT7C	1.124022495	0.0002995	0.01489206	0.0002995	0.01335371	0.00032001	0.01501554	0.00045251	0.018972559	1	0.000737547	0.0342621
ILMN_2614884	PJA1	1.123647984	0.0002995	0.01489206	0.0002995	0.01335371	0.00000151	0.00030356	0.00000406	0.000761994	1	1.74444E-05	0.00390377
ILMN_1250418	NPC1	1.123625032	0.0002995	0.01489206	0.0002995	0.01335371	1.39E-07	0.0000492	2.76E-07	0.000109783	1	2.27642E-06	0.00127663
ILMN_2706514	LOC100046608	1.123601186	0.00094262	0.02607154	0.0006399	0.01941092	0.00010046	0.00665173	0.00032888	0.015447583	1	0.001581552	0.05126497
ILMN_1241924	ARL6IP5	1.123582409	0.0002995	0.01489206	0.0002995	0.01335371	0.0000299	0.00274992	0.00010627	0.007284834	1	0.00027463	0.01910904
ILMN_2750265	ELMO1	1.123418741	0.00122569	0.03054155	0.00122569	0.02881591	0.0004071	0.01774258	0.00092146	0.02980611	1	0.001915982	0.05666025
ILMN_2712895	4631423B10RIK	1.123402203	0.0002995	0.01489206	0.0002995	0.01335371	0.0000422	0.0035217	0.00010479	0.007215102	1	0.000176289	0.01444673
ILMN_2719139	AB124611	1.122548641	0.00122569	0.03054155	0.0006399	0.01941092	0.00023483	0.0121047	0.00029401	0.014330244	1	0.001581552	0.05126497
ILMN_2692986	2810410P22RIK	1.122423336	0.00149689	0.03478153	0.00122569	0.02881591	0.00015964	0.00916202	0.00016472	0.009931795	1	0.0007895	0.03543767
ILMN_1228333	PRF1	1.122189532	0.00276802	0.05133777	0.00122569	0.02881591	0.0001055	0.00691623	0.00012319	0.008156571	0	0.002173782	0.0607706
ILMN_2940446	DGKA	1.122160698	0.00176049	0.0385938	0.00149689	0.03284241	0.0000799	0.00565291	0.00044116	0.018633965	1	0.003449313	0.07881943
ILMN_3034381	NUP88	1.121988063	0.00094262	0.02607154	0.00094262	0.02430167	0.00011496	0.00735062	0.00016939	0.010108673	1	0.000246108	0.01770572
ILMN_2668387	CGGBP1	1.121946931	0.0002995	0.01489206	0.0002995	0.01335371	0.00000034	0.0000984	1.68E-07	0.000078	1	3.59866E-06	0.00158025
ILMN_2592953	SCG5	1.121946089	0.0002995	0.01489206	0.0002995	0.01335371	0.000026	0.00247667	0.0000347	0.003370075	1	0.000228655	0.01684049
ILMN_1228867	A130082M07RIK	1.121929865	0.00094262	0.02607154	0.0002995	0.01335371	0.00000462	0.00072482	0.0000117	0.001595024	1	0.00042277	0.02466001
ILMN_2785454	HIST2H2AB	1.121848738	0.00898742	0.10547593	0.00965407	0.10652405	0.00889504	0.11365284	0.01039259	0.121665992	0	0.049191671	0.30108149
ILMN_2773900	GLIPR2	1.1217158	0.0006399	0.0211535	0.0006399	0.01941092	6.02E-07	0.00014992	0.00000244	0.000512485	1	3.83949E-05	0.00609954
ILMN_2647102	ACTL6A	1.121390591	0.0002995	0.01489206	0.0002995	0.01335371	0.00000884	0.00115212	0.0000424	0.00387062	1	7.57938E-05	0.00879794
ILMN_1256574	NCOA2	1.121377157	0.00094262	0.02607154	0.00094262	0.02430167	0.0000493	0.00391165	0.00022291	0.012129499	1	0.00040803	0.02413289
ILMN_1243902	A530024C08RIK	1.12112103	0.0020184	0.04200694	0.00176049	0.03635757	0.00045505	0.01903079	0.00088129	0.029196677	1	0.00305523	0.07341857
ILMN_1343048	control_ILMN_134310.41820964441	0.0006399	0.0211535	0.0006399	0.01941092	0.00023856	0.01218903	0.00027171	0.013620278	1	0.000934606	0.03863507
ILMN_2878979	TNFAIP8L2	1.120676477	0.0002995	0.01489206	0.0002995	0.01335371	4.64E-07	0.00012621	0.00000373	0.000722783	1	1.74444E-05	0.00390377
ILMN_2887619	RPS25	1.120128473	0.03241096	0.21464233	0.03788279	0.2312766	0.02525122	0.20197503	0.03226412	0.224678675	0	0.039320852	0.27099019
ILMN_2678724	DUSP10	1.119986223	0.0006399	0.0211535	0.0002995	0.01335371	0.00021616	0.0114725	0.00028764	0.014123395	1	0.000379979	0.02324165
ILMN_1244135	ARPC5	1.119864481	0.00301234	0.05440113	0.00373333	0.05925673	0.00703752	0.09959734	0.00558971	0.086699245	0	0.00450999	0.09155774
ILMN_2651297	4632428N05RIK	1.119607561	0.0002995	0.01489206	0.0002995	0.01335371	0.00000985	0.00121884	0.00000212	0.00045645	1	1.35117E-05	0.00345566
ILMN_2822842	1600014C10RIK	1.119392625	0.0002995	0.01489206	0.0002995	0.01335371	0.0000173	0.00183184	0.00000567	0.00097714	1	1.97985E-05	0.00420804
ILMN_2665545	RIN3	1.119281709	0.0002995	0.01489206	0.0002995	0.01335371	0.0000502	0.0039435	0.0000406	0.003782136	1	0.000246108	0.01770572
ILMN_2703321	ANKZF1	1.119253	0.0002995	0.01489206	0.0002995	0.01335371	0.0000123	0.0014435	0.0000441	0.003965776	1	0.000146035	0.01292295
ILMN_1259917	D330001F19RIK	1.119179745	0.0002995	0.01489206	0.0002995	0.01335371	0.0002103	0.01126316	0.00034508	0.015942739	1	0.000353739	0.02219068
ILMN_1237871	AMPD1	1.119072973	0.0002995	0.01489206	0.0002995	0.01335371	0.000036	0.00314503	0.0000107	0.001483462	1	4.70154E-05	0.00688184
ILMN_1256950	NEURL2	1.11903277	0.0006399	0.0211535	0.0006399	0.01941092	0.0000169	0.00180017	0.0000192	0.002327044	1	3.83949E-05	0.00609954
ILMN_1228020	1500010G04RIK	1.118985348	0.00122569	0.03054155	0.00094262	0.02430167	0.0000866	0.00599563	0.00023442	0.012474872	1	0.000934606	0.03863507
ILMN_1227573	IRF7	1.118870281	0.00397039	0.064249	0.00397039	0.06196763	0.0023181	0.05257933	0.00445393	0.076746435	0	0.002387591	0.06387081
ILMN_2726315	SDF4	1.118652369	0.00149689	0.03478153	0.0006399	0.01941092	0.00000926	0.00118448	0.0000286	0.002983758	1	0.000621233	0.03109305
ILMN_1227907	GMFG	1.11859249	0.0002995	0.01489206	0.0002995	0.01335371	1.41E-08	0.00000898	1.13E-07	0.0000599	1	7.03866E-06	0.00230764
ILMN_2881296	TMEM66	1.118516263	0.0002995	0.01489206	0.0002995	0.01335371	0.00000179	0.00034718	0.00000451	0.000814057	1	1.29447E-05	0.00332893
